mutant serotonin 005 H2O2 0.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,917,E,,917,323.9446976,915,921,8,1,4,,,1112,-1104.84115,5,917,323.9447021,8,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,unclassified,,0.5,0.5,0.5,1
,,1112,R,,1112,1104.84115,1110,1113,5,-1,3,,,1643,-1023.903429,6,1457,162.117691,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,pump,,0,0,1,2
,,1457,E,,1457,162.1176939,1454,1461,9,1,4,,,2422,-1105.041434,5,2240,338.6547852,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,R,R,0,1,0,3
,,1643,R,,1643,1023.903429,1641,1645,6,-1,3,,,2677,-539.034519,4,2575,178.1196899,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,E,E,1,0,0,4
,,2240,E,,2240,338.6547961,2238,2245,9,1,4,,,3079,-819.8879644,6,2891,311.2969666,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,r2,r,1,1,0,5
,,2422,R,,2422,1105.041434,2420,2423,5,-1,3,,,3413,-879.264033,6,3227,242.6110382,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,e1,e,1,0,1,6
,,2575,E,,2575,178.1196936,2573,2577,6,1,4,,,3728,-786.7639457,6,3567,234.6436462,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,IPSP,P,0,1,1,7
,,2677,R,,2677,539.034519,2676,2678,4,-1,3,,,4038,-704.6295256,5,3882,246.9994659,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EPSP,i,1,0.8,0,8
,,2891,E,,2891,311.2969717,2888,2894,8,1,4,,,4354,-714.4825428,5,4190,232.5557556,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3079,R,,3079,819.8879644,3077,3081,6,-1,3,,,5075,-915.9011507,5,4905,147.8513489,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3227,E,,3227,242.6110395,3225,3231,8,1,4,,,5398,-987.5865021,5,5237,301.7463684,13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3413,R,,3413,879.264033,3411,3415,6,-1,3,,,5889,-870.5108954,5,5728,290.1556702,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3567,E,,3567,234.6436482,3565,3571,8,1,4,,,6195,-669.2963905,4,6037,330.143219,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3728,R,,3728,786.7639457,3726,3730,6,-1,3,,,6502,-647.786797,4,6354,295.0312195,14,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3882,E,,3882,246.9994627,3879,3886,9,1,4,,,7409,-841.9717579,5,7230,311.2182312,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4038,R,,4038,704.6295256,4036,4039,5,-1,3,,,8156,-918.9436892,5,7989,139.6457367,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4190,E,,4190,232.5557533,4187,4195,10,1,4,,,8588,-799.6150628,5,8410,253.0541229,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4354,R,,4354,714.4825428,4352,4355,5,-1,3,,,8950,-680.3620116,4,8785,179.3942108,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4905,E,,4905,147.8513548,4901,4912,13,1,4,,,10042,-933.3832615,5,9856,222.9783478,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5075,R,,5075,915.9011507,5073,5076,5,-1,3,,,10438,-851.8901399,5,10254,297.6584167,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5237,E,,5237,301.7463686,5230,5241,13,1,4,,,10791,-660.5311277,4,10627,254.2663727,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5398,R,,5398,987.5865021,5396,5399,5,-1,3,,,11100,-704.4758228,5,10946,197.1275177,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5728,E,,5728,290.1556634,5726,5733,9,1,4,,,12099,-986.9941506,6,11916,204.2705994,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5889,R,,5889,870.5108954,5887,5890,5,-1,3,,,12467,-804.7366132,5,12292,293.2327271,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6027,E,,6027,21.88778827,6026,6028,4,1,4,,,13077,-803.7815812,4,12914,293.4889832,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6037,E,,6037,330.1432269,6034,6043,11,1,4,,,13448,-718.7641195,5,13279,189.2787781,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6195,R,,6195,669.2963905,6194,6196,4,-1,3,,,14149,-989.9590762,6,13986,182.8348236,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6337,E,,6337,4.64751155,6337,6338,3,,4,,,14497,-793.0236041,5,14336,293.9046021,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6354,E,,6354,295.0312252,6350,6362,14,1,4,,,14845,-842.0042862,5,14685,244.8911743,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6502,R,,6502,647.786797,6501,6503,4,-1,3,,,15190,-684.1361454,5,15024,122.0667038,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7230,E,,7230,311.2182167,7228,7232,6,1,4,,,16243,-977.8270538,5,16059,176.7812042,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7409,R,,7409,841.9717579,7407,7410,5,-1,3,,,16571,-790.6827844,5,16401,74.40763855,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
