mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,55,i,,55,1.856551305,55,56,3,,8,,,566,-223.7892049,11,352,-2.419876337,4,633,8.439246178,4,0,0,0,2,28.6559951,0,0,,,371,18.36498019,367,378,13,-1,7,,,55,1.856551305,55,56,3,,8,,,,unclassified,,0.5,0.5,0.5,1
,,59,i,,59,1.746101636,59,60,3,,8,,,2247,-57.31923592,9,2012,63.46407318,13,2307,-7.615830421,7,2002,21.11428452,15,1,42.18734757,1,14.60849436,,,405,10.29101492,404,407,5,-1,7,,,59,1.746101636,59,60,3,,8,,,,pump,,0,0,1,2
,,330,e,,330,22.77330861,324,332,10,1,6,,,2599,-191.6274667,9,2411,-7.105727196,6,0,0,0,0,0,0,2,43.75076376,0,0,,,442,1.379743926,442,442,2,,7,,,771,14.60849436,764,776,14,1,8,,,,R,R,0,1,0,3
,,340,E,,340,85.31401087,333,348,17,1,4,,,2943,-143.6740697,7,2770,65.57964325,11,0,0,0,2764,17.65651703,4,4,41.5884848,0,0,,,2019,1.720783735,2019,2019,2,,7,,,1579,3.205321632,1579,1579,2,,8,,,,E,E,1,0,0,4
,,352,E,,352,2.419876352,351,353,4,-1,4,,,4496,-197.8315688,10,4237,80.03292847,18,0,0,0,4222,-29.08629799,22,2,48.27303655,1,8.623582332,,,2184,42.18734757,2169,2189,22,1,7,,,3056,8.623582332,3054,3058,6,-1,8,,,,r2,r,1,1,0,5
,,371,P,,371,18.36498019,367,378,13,-1,7,,,5341,-301.1226069,12,5107,83.66850281,21,5349,-4.548862457,5,5089,-26.55443573,15,0,0,0,0,,,2408,6.487597531,2408,2409,3,,7,,,3734,4.671870989,3734,3735,3,,8,,,,e1,e,1,0,1,6
,,405,P,,405,10.29101492,404,407,5,-1,7,,,6487,-185.9270967,10,6267,32.54084778,15,0,0,0,6256,-22.85388184,11,0,0,1,10.67040957,,,2427,0.817825984,2427,2427,2,,7,,,3737,1.856551305,3737,3738,3,,8,,,,IPSP,P,0,1,1,7
,,442,P,,442,1.379743926,442,442,2,,7,,,6893,-132.014327,11,6683,49.27236176,18,0,0,0,6676,49.58269882,9,1,16.30321321,1,8.9648887,,,2432,2.138713714,2432,2432,2,,7,,,5434,10.67040957,5433,5435,4,-1,8,,,,EPSP,i,1,0.8,0,8
,,566,R,,566,223.7892049,560,569,11,-1,3,,,7642,-41.18280707,4,7452,40.93035126,17,0,0,0,7438,16.83668327,13,0,0,1,6.28668567,,,2434,0.784224384,2434,2434,2,,7,,,6570,8.9648887,6569,6573,6,-1,8,,,,,,,,,
,,592,r,,592,1.115578675,592,592,2,,5,,,7935,-133.8142933,11,7769,32.98425293,18,0,0,0,0,0,0,1,11.91065747,0,0,,,2443,30.78787537,2437,2462,27,-1,7,,,7327,6.28668567,7322,7328,8,-1,8,,,,,,,,,
,,633,r,,633,8.439246272,632,634,4,1,5,,,8553,-71.71355635,8,8361,66.80134583,13,8569,-24.71801949,15,0,0,0,3,51.75307876,1,6.910979954,,,2474,12.9628884,2471,2476,7,-1,7,,,8036,6.910979954,8035,8037,4,1,8,,,,,,,,,
,,771,i,,771,14.60849436,764,776,14,1,8,,,9699,-88.42058425,11,9239,65.89453888,18,0,0,0,9223,20.74380493,14,3,42.88252825,0,0,,,2786,4.028803314,2785,2787,4,1,7,,,8171,2.043854328,8171,8172,3,,8,,,,,,,,,
,,1579,i,,1579,3.205321632,1579,1579,2,,8,,,10168,-79.71455378,11,9989,40.25250244,18,0,0,0,9981,-12.49889946,9,0,0,1,4.497332279,,,2817,16.65765463,2808,2818,12,-1,7,,,9894,4.497332279,9893,9897,6,-1,8,,,,,,,,,
,,2002,e,,2002,21.114285,1993,2006,15,1,6,,,10466,-82.32502479,11,10307,35.31400299,18,0,0,0,10289,13.92780113,15,0,0,0,0,,,2845,2.538609719,2845,2846,3,,7,,,10503,1.379743926,10503,10503,2,,8,,,,,,,,,
,,2012,E,,2012,63.46407453,2007,2018,13,1,4,,,10777,-94.82954333,11,10620,31.84819984,17,10795,7.713542461,4,10609,-26.27863693,9,0,0,0,0,,,2852,9.156644396,2849,2857,10,1,7,,,15111,5.792985529,15110,15113,5,-1,8,,,,,,,,,
,,2019,P,,2019,1.720783735,2019,2019,2,,7,,,11093,-59.7691655,11,10944,51.67993546,22,0,0,0,10925,29.89415932,16,1,16.58891745,0,0,,,2930,11.74538246,2924,2932,10,-1,7,,,15117,3.204100736,15115,15118,5,1,8,,,,,,,,,
,,2184,P,,2184,42.18734757,2169,2189,22,1,7,,,11705,-87.02280667,14,11521,52.79738235,17,0,0,0,11509,19.01878548,14,2,16.54516376,0,0,,,4268,41.97669185,4265,4275,12,-1,7,,,15122,1.379743926,15122,15122,2,,8,,,,,,,,,
