WT 05 H2O2 7.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,1,E,,1,1.576957206,1,2,3,,4,,,280,-1433.336355,15,93,217.6296692,30,0,0,0,73,40.24245834,25,1,25.82231453,0,0,,,9,4.372580738,8,10,4,1,7,,,26157,0.926170172,26157,26157,2,,8,,,,unclassified,,0.5,0.5,0.5,1
,,9,P,,9,4.372580738,8,10,4,1,7,,,299,,4,0,0,0,0,0,0,0,0,0,2,30.19489527,0,0,,,175,25.82231453,168,184,18,-1,7,,,26235,10.13112833,26232,26240,10,-1,8,,,,pump,,0,0,1,2
,,73,e,,73,40.24245792,61,84,25,1,6,,,679,-1472.957633,53,483,244.5901642,45,0,0,0,0,0,0,1,22.88370002,0,0,,,539,22.88370002,535,542,9,-1,7,,,26268,4.261640883,26266,26269,5,1,8,,,,R,R,0,1,0,3
,,93,E,,93,217.6296659,85,113,30,1,4,,,1145,-1437.399614,42,944,181.852356,43,0,0,0,930,27.90707016,14,1,6.315576723,0,0,,,554,1.40312356,554,554,2,,7,,,26284,2.503127378,26283,26285,4,-1,8,,,,E,E,1,0,0,4
,,175,P,,175,25.82231453,168,184,18,-1,7,,,1519,-1407.543461,17,1326,159.2391205,57,0,0,0,1292,90.72830963,30,0,0,0,0,,,1097,5.437698763,1097,1098,3,,7,,,26317,5.535679674,26316,26319,5,1,8,,,,r2,r,1,1,0,5
,,280,R,,280,1433.336355,274,287,15,-1,3,,,1536,-10.53883217,11,0,0,0,0,0,0,0,0,0,4,59.39417201,0,0,,,1106,6.315576723,1103,1108,7,1,7,,,26526,9.253325708,26525,26529,6,-1,8,,,,e1,e,1,0,1,6
,,292,R,,292,0.926170172,292,292,2,,3,,,1860,-1378.187747,14,1663,200.2850189,26,0,0,0,1647,-145.0133057,26,3,37.13595436,0,0,,,1720,18.28021315,1715,1724,11,-1,7,,,26549,11.79912719,26547,26555,10,1,8,,,,IPSP,P,0,1,1,7
,,299,R,,299,2.541588153,299,301,4,,3,,,2428,-1564.113553,15,2238,100.5407333,30,0,0,0,2221,37.95078278,22,0,0,0,0,,,1743,1.40312356,1743,1743,2,,7,,,26667,2.569350003,26667,26668,3,,8,,,,EPSP,i,1,0.8,0,8
,,308,R,,308,1.761641012,308,308,2,,3,,,2751,-1554.786438,15,2565,234.8313446,29,0,0,0,2557,124.8238983,9,5,69.20138474,0,0,,,1749,10.79968014,1745,1752,9,1,7,,,26705,19.14140789,26700,26713,15,-1,8,,,,,,,,,
,,310,R,,310,2.050808333,310,311,3,,3,,,2769,-10.32654415,10,0,0,0,0,0,0,0,0,0,12,165.7315111,0,0,,,1756,8.056061068,1754,1758,6,-1,7,,,26811,21.67295787,26805,26820,17,-1,8,,,,,,,,,
,,483,E,,483,244.5901623,465,508,45,1,4,,,3155,-1559.972891,32,2969,207.7838593,47,0,0,0,2898,10.11324501,8,0,0,0,0,,,2598,0.926170172,2598,2598,2,,7,,,26899,10.38187712,26892,26901,11,1,8,,,,,,,,,
,,539,P,,539,22.88370002,535,542,9,-1,7,,,3759,-1534.186127,14,3567,77.4773407,45,0,0,0,3487,82.02394104,41,0,0,0,0,,,2605,16.20619971,2600,2610,12,-1,7,,,26930,10.1140654,26923,26933,12,1,8,,,,,,,,,
,,554,P,,554,1.40312356,554,554,2,,7,,,3787,-4.518577195,6,0,0,0,0,0,0,0,0,0,12,165.7315111,0,0,,,2617,6.078622712,2616,2621,7,-1,7,,,26971,3.338598218,26970,26972,4,1,8,,,,,,,,,
,,679,R,,679,1472.957633,670,721,53,-1,3,,,4085,-1491.366216,17,3899,224.2727203,29,0,0,0,3886,-154.8804474,19,1,32.3042608,0,0,,,2624,3.377058993,2623,2625,4,-1,7,,,27023,3.843487542,27023,27024,3,,8,,,,,,,,,
,,930,e,,930,27.90706965,923,935,14,1,6,,,4397,-1421.225013,15,4217,244.6805115,32,0,0,0,4200,112.4835663,22,1,27.63929329,0,0,,,2649,32.63155536,2637,2659,24,-1,7,,,27214,6.754069335,27212,27217,7,1,8,,,,,,,,,
,,944,E,,944,181.8523534,936,977,43,1,4,,,4799,-1473.939827,34,4616,115.9538269,31,0,0,0,4583,37.04359436,28,0,0,0,0,,,2666,10.90794796,2661,2671,12,1,7,,,28074,3.233914818,28073,28076,5,1,8,,,,,,,,,
,,1097,P,,1097,5.437698763,1097,1098,3,,7,,,5368,-1552.466177,33,5178,54.77720261,44,0,0,0,0,0,0,0,0,0,0,,,3959,32.3042608,3951,3969,20,-1,7,,,28086,4.295806587,28085,28087,4,-1,8,,,,,,,,,
,,1106,P,,1106,6.315576723,1103,1108,7,1,7,,,5680,-1553.584084,10,5503,270.8862,32,0,0,0,5487,-58.49134827,14,0,0,0,0,,,3972,1.576957206,3972,3973,3,,7,,,28404,2.050808333,28404,28405,3,,8,,,,,,,,,
,,1145,R,,1145,1437.399614,1135,1175,42,-1,3,,,5984,-1457.700374,10,5805,249.62854,28,0,0,0,5793,156.3620605,22,1,35.28449203,0,0,,,4277,27.63929329,4268,4286,20,-1,7,,,32007,1.695418387,32007,32008,3,,8,,,,,,,,,
,,1292,e,,1292,90.72830952,1285,1313,30,1,6,,,6436,-1551.68432,42,6255,220.2266693,43,0,0,0,0,0,0,1,36.1719191,0,0,,,5872,35.28449203,5864,5885,23,-1,7,,,32249,1.695418387,32249,32250,3,,8,,,,,,,,,
,,1326,E,,1326,159.2391203,1314,1369,57,1,4,,,6751,-1521.048291,43,6575,239.3200226,29,0,0,0,6557,73.43364716,19,0,0,0,0,,,6323,36.1719191,6315,6333,20,-1,7,,,39293,4.435474529,39292,39296,6,1,8,,,,,,,,,
,,1519,R,,1519,1407.543461,1510,1525,17,-1,3,,,7217,-1442.052808,14,7037,193.7827911,50,0,0,0,7005,48.80520248,26,0,0,0,0,,,8808,6.938601906,8804,8811,9,-1,7,,,39300,5.386279043,39298,39302,6,1,8,,,,,,,,,
,,1529,R,,1529,0.926170172,1529,1529,2,,3,,,7227,-2.858517323,4,0,0,0,0,0,0,0,0,0,16,297.1314763,0,0,,,10988,0.926170172,10988,10988,2,,7,,,39309,1.932347151,39309,39310,3,,8,,,,,,,,,
,,1536,R,,1536,10.53883217,1534,1543,11,-1,3,,,7245,-13.04501171,14,0,0,0,0,0,0,0,0,0,16,297.1314763,0,0,,,11000,21.2068921,10991,11008,19,-1,7,,,41471,1.733879163,41471,41472,3,,8,,,,,,,,,
,,1647,e,,1647,145.0133058,1635,1659,26,-1,6,,,7562,-1513.650542,22,7386,170.7551727,29,0,0,0,7346,47.24391174,28,0,0,0,0,,,11213,17.95724428,11208,11217,11,1,7,,,41592,14.53914292,41590,41601,13,-1,8,,,,,,,,,
,,1663,E,,1663,200.2850244,1660,1684,26,1,4,,,7942,-1548.52749,34,7764,230.1300812,45,0,0,0,0,0,0,0,0,0,0,,,11220,2.886279172,11220,11221,3,,7,,,41687,3.175446493,41686,41688,4,1,8,,,,,,,,,
,,1720,P,,1720,18.28021315,1715,1724,11,-1,7,,,8516,-1518.687003,20,8328,128.1603851,77,0,0,0,0,0,0,0,0,0,0,,,11225,11.29343511,11223,11228,7,1,7,,,42055,2.718849382,42055,42055,2,,8,,,,,,,,,
,,1743,P,,1743,1.40312356,1743,1743,2,,7,,,8831,-1487.47165,21,8653,282.6412964,37,0,0,0,0,0,0,1,6.938601906,0,0,,,13402,4.435474529,13401,13405,6,-1,7,,,43826,8.046328378,43823,43830,9,-1,8,,,,,,,,,
,,1749,P,,1749,10.79968014,1745,1752,9,1,7,,,9288,-1498.521196,16,9109,122.731102,35,0,0,0,9097,-8.923356056,9,0,0,0,0,,,14884,12.62031077,14879,14885,8,-1,7,,,44159,1.12463816,44159,44159,2,,8,,,,,,,,,
,,1756,P,,1756,8.056061068,1754,1758,6,-1,7,,,9600,-1514.672,18,9426,238.5232697,19,0,0,0,9414,63.86145782,23,0,0,0,0,,,14982,3.923162626,14980,14984,6,-1,7,,,44851,0.926170172,44851,44851,2,,8,,,,,,,,,
,,1860,R,,1860,1378.187747,1853,1865,14,-1,3,,,9922,-1504.276089,17,9750,260.0764465,20,0,0,0,9734,44.78422546,23,0,0,0,0,,,16107,3.603332523,16107,16108,3,,7,,,45334,0.926170172,45334,45334,2,,8,,,,,,,,,
,,1871,R,,1871,1.12463816,1871,1871,2,,3,,,9936,-3.655527387,4,0,0,0,0,0,0,0,0,0,17,304.0700782,0,0,,,18889,11.8645742,18887,18893,8,-1,7,,,45336,1.12463816,45336,45336,2,,8,,,,,,,,,
,,2221,e,,2221,37.950782,2205,2225,22,1,6,,,10218,-1465.901078,18,10052,293.3173218,20,0,0,0,10040,109.4902267,13,0,0,0,0,,,18966,17.47350322,18964,18977,15,-1,7,,,46443,3.693988163,46442,46444,4,1,8,,,,,,,,,
,,2238,E,,2238,100.5407298,2226,2254,30,1,4,,,10721,-1556.102121,19,10547,86.48091888,40,0,0,0,10515,73.14597321,30,0,0,0,0,,,19550,33.91645789,19536,19560,26,-1,7,,,47612,2.980080765,47611,47613,4,1,8,,,,,,,,,
,,2428,R,,2428,1564.113553,2422,2435,15,-1,3,,,10736,-8.314089605,8,0,0,0,0,0,0,0,0,0,17,304.0700782,0,0,,,20165,2.384666196,20164,20166,4,-1,7,,,49423,1.53849643,49423,49424,3,,8,,,,,,,,,
,,2443,R,,2443,1.12463816,2443,2443,2,,3,,,11026,-1568.453991,14,10855,291.8750916,31,0,0,0,10841,82.82394409,19,1,21.2068921,0,0,,,20230,6.089346885,20229,20235,8,1,7,,,49833,7.08169743,49831,49837,8,-1,8,,,,,,,,,
,,2551,E,,2551,10.61234167,2550,2553,5,1,4,,,11328,-1507.952569,14,11154,269.8755188,22,0,0,0,11140,145.4943542,15,2,29.25067939,0,0,,,20269,3.645019554,20269,20270,3,,7,,,50506,4.000084177,50504,50508,6,1,8,,,,,,,,,
,,2557,e,,2557,124.8238964,2554,2561,9,1,6,,,11644,-1335.490244,14,11468,201.9146729,26,0,0,0,11446,106.8753891,22,0,0,0,0,,,21244,30.79772531,21240,21249,11,-1,7,,,50512,2.24927632,50512,50513,3,,8,,,,,,,,,
,,2565,E,,2565,234.8313427,2562,2589,29,1,4,,,12112,-1522.05616,14,11930,187.1153717,31,0,0,0,11915,36.74513245,21,0,0,0,0,,,22102,55.3429478,22086,22130,46,-1,7,,,52423,2.94161999,52423,52425,4,,8,,,,,,,,,
,,2598,P,,2598,0.926170172,2598,2598,2,,7,,,12419,-1535.508067,12,12247,230.4050446,34,0,0,0,12224,42.86921692,22,0,0,0,0,,,25871,52.40779495,25867,25875,10,-1,7,,,52448,8.251095073,52446,52453,9,-1,8,,,,,,,,,
,,2605,P,,2605,16.20619971,2600,2610,12,-1,7,,,12885,-1656.729085,30,12705,230.3761597,31,0,0,0,12688,28.00301552,14,0,0,0,0,,,25899,20.96298559,25896,25902,8,-1,7,,,52478,8.895583399,52474,52482,10,-1,8,,,,,,,,,
,,2617,P,,2617,6.078622712,2616,2621,7,-1,7,,,13196,-1544.564057,25,13023,326.2662659,31,0,0,0,13014,118.4882889,10,0,0,0,0,,,27372,33.62760725,27368,27382,16,-1,7,,,52543,5.984821119,52541,52545,6,-1,8,,,,,,,,,
,,2624,P,,2624,3.377058993,2623,2625,4,-1,7,,,13650,-1569.95657,13,13475,167.7848053,41,0,0,0,13444,27.89142227,20,0,0,0,0,,,27396,49.55815633,27393,27406,15,-1,7,,,52566,12.57577038,52561,52571,12,-1,8,,,,,,,,,
,,2649,P,,2649,32.63155536,2637,2659,24,-1,7,,,13952,-1504.363764,15,13786,236.6326294,27,0,0,0,13766,109.6469879,25,0,0,0,0,,,27420,19.69086332,27416,27431,17,-1,7,,,52627,2.52776172,52627,52628,3,,8,,,,,,,,,
,,2666,P,,2666,10.90794796,2661,2671,12,1,7,,,14673,-1502.802641,18,14484,111.3416595,34,0,0,0,0,0,0,0,0,0,0,,,29250,58.80764755,29247,29254,9,-1,7,,,52656,6.910991292,52654,52659,7,-1,8,,,,,,,,,
,,2751,R,,2751,1554.786438,2745,2758,15,-1,3,,,15002,-1434.518399,17,14825,284.3551025,19,0,0,0,14815,115.4839172,19,2,16.5434734,0,0,,,29289,17.79758805,29283,29293,12,-1,7,,,52776,6.566289667,52775,52781,8,-1,8,,,,,,,,,
,,2761,R,,2761,0.926170172,2761,2761,2,,3,,,15500,-1569.353414,17,15317,206.249527,29,0,0,0,15301,54.43093109,19,0,0,0,0,,,29307,13.82475977,29305,29312,9,-1,7,,,52855,3.495520175,52854,52856,4,1,8,,,,,,,,,
,,2769,R,,2769,10.32654415,2764,2772,10,-1,3,,,15817,-1572.44782,17,15641,301.9829407,17,0,0,0,15628,-70.99399567,18,0,0,0,0,,,29316,4.940265105,29314,29317,5,-1,7,,,52895,4.104718925,52894,52897,5,1,8,,,,,,,,,
,,2876,e,,2876,73.73848038,2861,2895,36,1,6,,,16295,-1491.298704,12,16117,297.7851868,20,16301,3.930885315,4,0,0,0,0,0,0,0,,,29726,29.48626465,29721,29729,10,-1,7,,,52904,5.970885703,52899,52905,8,-1,8,,,,,,,,,
,,2898,e,,2898,10.11324505,2897,2903,8,1,6,,,16679,-1481.978415,15,16504,179.8673859,28,0,0,0,16483,29.09651566,17,0,0,0,0,,,29755,53.64464979,29752,29760,10,-1,7,,,52910,8.118807458,52907,52913,8,-1,8,,,,,,,,,
,,2969,E,,2969,207.7838576,2950,2995,47,1,4,,,17163,-1540.249883,19,16985,138.8075562,40,0,0,0,16945,49.04688644,32,0,0,0,0,,,29788,23.09347698,29783,29792,11,-1,7,,,52986,1.695418387,52986,52987,3,,8,,,,,,,,,
,,3155,R,,3155,1559.972891,3148,3178,32,-1,3,,,17462,-1575.785396,18,17291,262.8470764,23,0,0,0,17272,64.62586975,21,0,0,0,0,,,29839,13.65074029,29836,29841,7,-1,7,,,53011,2.200208963,53011,53011,2,,8,,,,,,,,,
,,3487,e,,3487,82.023943,3473,3512,41,1,6,,,17478,-5.124722337,7,0,0,0,0,0,0,0,0,0,23,375.5065977,0,0,,,30943,33.46963749,30939,30949,12,-1,7,,,53067,2.969457179,53067,53068,3,,8,,,,,,,,,
,,3567,E,,3567,77.4773427,3545,3588,45,1,4,,,18402,-1486.791109,15,18217,380.1412048,34,0,0,0,0,0,0,0,0,0,0,,,30965,18.19753648,30960,30970,12,-1,7,,,53073,5.309374497,53071,53075,6,-1,8,,,,,,,,,
,,3759,R,,3759,1534.186127,3753,3765,14,-1,3,,,18693,-1527.127801,12,18523,296.4700623,23,0,0,0,18512,101.8505325,16,0,0,0,0,,,30986,16.30376076,30978,30990,14,-1,7,,,53129,0.80770899,53129,53129,2,,8,,,,,,,,,
,,3767,R,,3767,1.12463816,3767,3767,2,,3,,,19002,-1535.563754,16,18828,346.3188477,20,0,0,0,18815,-99.62442017,19,2,29.33807741,0,0,,,42937,77.68450062,42933,42947,16,-1,7,,,53244,1.761641012,53244,53244,2,,8,,,,,,,,,
,,3769,R,,3769,1.761641012,3769,3769,2,,3,,,19359,-1619.075176,18,19190,172.3452606,33,0,0,0,19167,83.39263916,22,0,0,0,0,,,42966,26.47750782,42963,42968,7,-1,7,,,53288,7.614249856,53286,53290,6,-1,8,,,,,,,,,
,,3783,R,,3783,0.926170172,3783,3783,2,,3,,,19657,-1610.583419,17,19488,182.7078247,13,0,0,0,19477,-341.9134216,18,1,33.91645789,0,0,,,42984,2.050808333,42984,42985,3,,7,,,53353,1.761641012,53353,53353,2,,8,,,,,,,,,
,,3787,R,,3787,4.518577195,3785,3789,6,-1,3,,,19970,-1313.629202,15,19792,339.5054016,24,0,0,0,19776,47.50741577,24,0,0,0,0,,,43063,29.77508985,43059,43069,12,-1,7,,,53454,2.050808333,53454,53455,3,,8,,,,,,,,,
,,3877,E,,3877,0.80770899,3877,3877,2,,4,,,20282,-1243.235008,15,20111,248.8737793,15,20290,-2.740056038,4,20096,-226.2140198,29,2,8.474013081,0,0,,,43099,33.89810884,43094,43106,14,-1,7,,,53545,10.24653734,53543,53551,10,-1,8,,,,,,,,,
,,3886,e,,3886,154.8804445,3878,3895,19,-1,6,,,20749,-1600.002453,10,20575,304.9390259,27,0,0,0,0,0,0,0,0,0,0,,,43146,23.51744146,43137,43150,15,-1,7,,,53580,6.680472783,53578,53583,7,-1,8,,,,,,,,,
,,3899,E,,3899,224.2727192,3896,3923,29,1,4,,,21049,-1602.523295,19,20880,328.2206726,26,0,0,0,20871,201.1344757,19,0,0,0,0,,,43206,33.70336948,43199,43213,16,-1,7,,,53602,13.44199778,53597,53609,14,-1,8,,,,,,,,,
,,3959,P,,3959,32.3042608,3951,3969,20,-1,7,,,21357,-1541.502695,12,21188,362.7562866,25,0,0,0,21179,27.88215637,11,1,30.79772531,0,0,,,43275,3.317587429,43275,43275,2,,7,,,53705,12.24503178,53701,53710,11,-1,8,,,,,,,,,
,,3972,P,,3972,1.576957206,3972,3973,3,,7,,,21654,-1553.040427,10,21486,412.8469543,32,0,0,0,21475,105.5189209,14,0,0,0,0,,,47245,150.104288,47242,47257,17,-1,7,,,53729,5.943249842,53728,53732,6,1,8,,,,,,,,,
,,4085,R,,4085,1491.366216,4075,4090,17,-1,3,,,22186,-1454.613071,14,22007,186.452301,34,0,0,0,21985,42.10801315,20,1,55.3429478,0,0,,,47274,87.78314353,47270,47287,19,-1,7,,,53762,7.878707495,53759,53765,8,-1,8,,,,,,,,,
,,4200,e,,4200,112.4835683,4189,4209,22,1,6,,,22484,-1486.902931,7,22314,315.2504578,16,0,0,0,22305,107.8521271,20,0,0,0,0,,,47303,67.06919952,47299,47318,21,-1,7,,,53788,1.12463816,53788,53788,2,,8,,,,,,,,,
,,4217,E,,4217,244.6805165,4210,4240,32,1,4,,,22841,-1595.6709,15,22671,377.5329895,29,0,0,0,0,0,0,0,0,0,0,,,47323,1.12463816,47323,47323,2,,7,,,53790,4.755470864,53790,53790,2,,8,,,,,,,,,
,,4277,P,,4277,27.63929329,4268,4286,20,-1,7,,,23155,-1554.850474,15,22987,346.0553894,29,0,0,0,22974,67.35361481,29,0,0,0,0,,,47332,30.20519734,47325,47340,17,-1,7,,,53913,2.050808333,53913,53914,3,,8,,,,,,,,,
,,4397,R,,4397,1421.225013,4391,4404,15,-1,3,,,23533,-1617.813938,16,23363,377.0029602,34,0,0,0,0,0,0,0,0,0,0,,,47370,25.83918633,47365,47382,19,-1,7,,,53952,3.61395611,53951,53953,4,-1,8,,,,,,,,,
,,4407,R,,4407,2.172371775,4407,4408,3,,3,,,24069,-1642.970488,23,23897,108.8932343,31,0,0,0,0,0,0,0,0,0,0,,,51028,173.0802006,51023,51039,18,-1,7,,,54896,10.18336688,54890,54899,11,1,8,,,,,,,,,
,,4583,e,,4583,37.04359581,4573,4599,28,1,6,,,24391,-1615.562856,13,24220,352.8922119,31,0,0,0,24208,51.87428665,14,0,0,0,0,,,51059,155.6368548,51051,51069,20,-1,7,,,54921,7.773617275,54920,54923,5,1,8,,,,,,,,,
,,4616,E,,4616,115.9538259,4600,4629,31,1,4,,,25034,-1683.25701,10,24853,397.9247742,39,0,0,0,0,0,0,0,0,0,0,,,51092,191.4257316,51088,51103,17,-1,7,,,55035,7.766650168,55033,55039,8,-1,8,,,,,,,,,
,,4799,R,,4799,1473.939827,4792,4824,34,-1,3,,,25570,-1737.684298,13,0,0,0,0,0,0,0,0,0,30,533.3758192,0,0,,,51127,125.8042173,51121,51140,21,-1,7,,,55041,2.21083255,55041,55042,3,,8,,,,,,,,,
,,5178,E,,5178,54.77720369,5154,5196,44,1,4,,,26004,-1562.733181,12,25823,348.8388977,25,0,0,0,25817,304.6274414,11,2,73.37078054,0,0,,,51161,23.82429217,51155,51170,17,-1,7,,,55059,11.50346312,55058,55068,12,1,8,,,,,,,,,
,,5368,R,,5368,1552.466177,5359,5390,33,-1,3,,,27458,-437.5594855,30,27355,441.2060242,23,0,0,0,0,0,0,3,102.8766269,12,114.887005,,,54072,86.03583288,54067,54084,19,-1,7,,,55170,13.3450356,55167,55178,13,-1,8,,,,,,,,,
,,5487,e,,5487,58.49134779,5483,5495,14,-1,6,,,29346,-1473.753177,19,29203,541.9056396,22,0,0,0,29187,93.05754852,21,4,95.37026047,2,7.529721405,,,54101,145.5744286,54098,54114,18,-1,7,,,55351,1.12463816,55351,55351,2,,8,,,,,,,,,
,,5503,E,,5503,270.8862003,5496,5526,32,1,4,,,29851,-1429.915702,13,29676,568.5476685,18,0,0,0,29666,116.6874466,14,4,119.8751317,0,0,,,56959,57.7694076,56954,56965,13,-1,7,,,56474,7.223838367,56471,56475,6,1,8,,,,,,,,,
,,5680,R,,5680,1553.584084,5675,5683,10,-1,3,,,31022,-954.6151326,22,30917,443.3987122,25,0,0,0,0,0,0,3,67.97093472,0,0,,,56994,42.30845743,56988,56999,13,-1,7,,,71645,11.62825281,71641,71651,12,-1,8,,,,,,,,,
,,5793,e,,5793,156.3620566,5778,5798,22,1,6,,,43294,-405.9046677,33,42920,196.5696564,51,0,0,0,0,0,0,6,225.0560181,4,27.53634298,,,57019,39.33921817,57012,57027,17,-1,7,,,71665,6.183364447,71663,71667,6,1,8,,,,,,,,,
,,5805,E,,5805,249.6285369,5799,5825,28,1,4,,,47409,-280.1796245,16,47227,463.2522583,32,0,0,0,0,0,0,5,361.0010147,2,11.74031654,,,57045,54.131781,57039,57057,20,-1,7,,,71749,3.693988163,71748,71750,4,-1,8,,,,,,,,,
,,5872,P,,5872,35.28449203,5864,5885,23,-1,7,,,51184,-668.1175881,18,51008,383.1950378,52,0,0,0,0,0,0,5,669.7712964,3,14.06186237,,,72360,165.8516225,72357,72377,22,-1,7,,,71753,1.576957206,71753,71754,3,,8,,,,,,,,,
,,5984,R,,5984,1457.700374,5980,5988,10,-1,3,,,54149,-514.0899296,39,54045,139.3159485,24,0,0,0,0,0,0,2,231.6102615,19,143.8480607,,,72391,25.79508935,72386,72398,14,-1,7,,,71832,2.200208963,71832,71832,2,,8,,,,,,,,,
