WT serotonin control 1.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,100085,R,,100085,656.440497,100073,100098,27,-1,3,,,100085,-656.440497,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,unclassified,,0.5,0.5,0.5,1
,,100101,R,,100101,5.930770822,100100,100106,8,-1,3,,,100101,-5.930770822,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,pump,,0,0,1,2
,,100215,e,,100215,41.09508466,100208,100228,22,1,6,,,100418,-653.0032601,29,100257,131.1600952,37,0,0,0,100215,41.09508514,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,R,R,0,1,0,3
,,100257,E,,100257,131.160097,100241,100276,37,1,4,,,100438,4.469458426,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,E,E,1,0,0,4
,,100418,R,,100418,653.0032601,100405,100432,29,-1,3,,,100762,-632.1906622,20,100599,164.2749176,25,0,0,0,100584,33.55717468,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,r2,r,1,1,0,5
,,100438,R,,100438,4.469458426,100436,100440,6,1,3,,,101063,-624.9194263,27,100904,145.2376099,36,0,0,0,100890,171.7114868,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,e1,e,1,0,1,6
,,100584,e,,100584,33.55717412,100578,100588,12,1,6,,,101384,-627.6848398,24,101222,150.4119415,33,0,0,0,101210,106.0168076,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,IPSP,P,0,1,1,7
,,100599,E,,100599,164.2749247,100589,100612,25,1,4,,,101701,-662.6310824,15,101542,161.5026703,39,101713,-27.44858551,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,EPSP,i,1,0.8,0,8
,,100762,R,,100762,632.1906622,100752,100770,20,-1,3,,,102011,-680.5612714,19,101854,115.1131287,22,0,0,0,101843,58.19331741,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100772,R,,100772,0.938331051,100772,100772,2,,3,,,102371,-679.6694901,18,102207,147.2997589,30,0,0,0,102197,80.10016632,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100775,R,,100775,0.938331051,100775,100775,2,,3,,,102690,-718.6994061,17,102528,134.2672729,23,0,0,0,102514,30.34006119,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100890,e,,100890,171.7114882,100887,100894,9,1,6,,,103006,-740.4372551,19,102844,133.3572845,25,0,0,0,102832,57.24124146,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100904,E,,100904,145.2376155,100895,100929,36,1,4,,,103341,-721.8413275,17,103177,141.7746582,30,0,0,0,103165,20.09562683,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101063,R,,101063,624.9194263,101052,101077,27,-1,3,,,103644,-704.3412635,14,103480,143.4636688,27,103652,-22.15844727,7,103465,93.71482849,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101210,e,,101210,106.0168049,101206,101212,8,1,6,,,103656,5.027179839,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101222,E,,101222,150.4119422,101213,101244,33,1,4,,,103972,-729.1238778,19,103808,111.9738388,31,103981,-22.77586174,7,103787,-34.50826263,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101384,R,,101384,627.6848398,101373,101395,24,-1,3,,,104303,-661.2113586,16,104141,150.4697723,35,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101542,E,,101542,161.5026645,101525,101562,39,1,4,,,104618,-686.7722193,19,104461,121.4297256,31,104625,-42.18831635,16,104443,-63.96185684,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101701,R,,101701,662.6310824,101693,101706,15,-1,3,,,104939,-677.2702848,16,104778,132.9631195,26,0,0,0,104765,58.32681656,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101713,r,,101713,27.4485851,101709,101715,8,-1,5,,,105289,-679.6916639,15,105127,169.0220032,42,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101843,e,,101843,58.19331568,101838,101845,9,1,6,,,105625,-663.2807914,16,105463,132.5535431,43,0,0,0,105407,103.8073578,36,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101854,E,,101854,115.1131279,101846,101866,22,1,4,,,105945,-781.5526696,20,105791,139.5667267,31,105961,-35.05603409,14,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102011,R,,102011,680.5612714,102003,102020,19,-1,3,,,106266,-656.0093971,17,106106,146.7481537,33,106274,-23.46913528,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102197,e,,102197,80.10016684,102192,102200,10,1,6,,,106564,-587.6678338,18,106404,165.3056488,40,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102207,E,,102207,147.2997653,102201,102229,30,1,4,,,106876,-665.3201166,27,106718,145.3697662,30,0,0,0,106705,42.10990143,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102371,R,,102371,679.6694901,102362,102378,18,-1,3,,,107245,-663.8741755,19,107084,186.5764465,33,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102514,e,,102514,30.34006209,102511,102519,10,1,6,,,107543,-710.6162933,18,107383,140.3301849,30,0,0,0,107364,52.39731979,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102528,E,,102528,134.2672676,102520,102541,23,1,4,,,107852,-624.935766,18,107693,118.9217911,30,0,0,0,107673,-53.79014587,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102690,R,,102690,718.6994061,102683,102698,17,-1,3,,,108166,-652.634477,24,108005,136.7579956,30,0,0,0,107986,33.50483704,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102832,e,,102832,57.24124219,102827,102835,10,1,6,,,108488,-627.6972844,29,108328,131.7417908,25,0,0,0,108313,35.39738083,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102844,E,,102844,133.3572849,102836,102859,25,1,4,,,108807,-704.7015875,15,108646,137.1355438,26,108817,-21.99300385,8,108629,40.2629509,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103006,R,,103006,740.4372551,102999,103016,19,-1,3,,,109095,-678.9714645,19,108936,98.49580383,25,0,0,0,108924,20.31866455,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103165,e,,103165,20.09562606,103160,103168,10,1,6,,,109406,-621.0002194,22,109246,124.2188797,37,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103177,E,,103177,141.7746634,103169,103197,30,1,4,,,109719,-554.0851813,23,109561,126.5497208,34,0,0,0,109542,32.82062531,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103341,R,,103341,721.8413275,103334,103349,17,-1,3,,,110063,-672.0009939,23,109900,136.8052063,23,0,0,0,109890,100.3026199,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103465,e,,103465,93.71482967,103458,103471,15,1,6,,,110381,-643.9233622,28,110220,146.8008575,28,0,0,0,110201,70.77574158,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103480,E,,103480,143.4636692,103472,103497,27,1,4,,,110686,-616.9587148,25,110526,118.7729187,33,0,0,0,110511,103.4990768,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103644,R,,103644,704.3412635,103636,103648,14,-1,3,,,111024,-683.6144452,20,110864,147.4846191,25,0,0,0,110853,74.75508118,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103652,r,,103652,22.15844641,103649,103654,7,-1,5,,,111358,-680.6529793,20,111200,158.1548615,24,0,0,0,111188,54.66481781,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103656,R,,103656,5.027179839,103655,103658,5,1,3,,,111672,-663.1382875,24,111511,112.6197586,25,0,0,0,111498,52.89268494,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103787,e,,103787,34.50826119,103784,103795,13,-1,6,,,111977,-680.6816497,20,111817,134.6254578,25,0,0,0,111804,109.2457657,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103808,E,,103808,111.9738389,103796,103825,31,1,4,,,112274,-600.8879567,17,112113,96.63852692,25,0,0,0,112096,-92.73938751,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103972,R,,103972,729.1238778,103960,103977,19,-1,3,,,112582,-618.9641193,22,112422,121.9891434,33,0,0,0,112407,22.90450668,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
